STN,YYYYMMDD,TG,TN,TX,T10N,SQ,SP,Q,DR,UG,UX,UN
260,20110101,35,-3,59,-29,12,15,187,15,93,99,75
260,20110102,23,-7,53,-32,57,73,357,0,87,99,73
260,20110103,7,-36,36,-70,28,36,257,4,93,99,81
260,20110104,9,-1,24,-2,47,60,296,0,83,96,73
260,20110105,3,-15,35,-18,50,63,339,14,77,95,68
260,20110106,44,33,52,26,0,0,52,168,98,99,93
260,20110107,47,-5,92,-24,0,0,56,16,98,99,93
260,20110108,88,49,120,41,5,6,148,46,89,99,73
260,20110109,38,10,67,-6,52,65,363,0,85,96,64
260,20110110,9,-25,49,-55,65,81,415,0,95,99,85
260,20110111,32,-3,62,-8,0,0,54,43,91,99,79
260,20110112,57,29,85,23,0,0,60,136,95,99,83
260,20110113,95,83,106,82,0,0,50,123,98,99,95
260,20110114,99,75,116,68,0,0,41,174,95,99,89
260,20110115,89,70,100,63,0,0,76,0,86,94,78
260,20110116,97,80,125,71,25,30,268,0,82,90,73
260,20110117,81,50,96,32,0,0,99,14,91,97,85
260,20110118,44,19,61,-8,3,4,132,63,94,99,84
260,20110119,36,14,66,-9,21,25,253,13,95,99,83
260,20110120,20,-28,50,-61,67,79,491,0,88,98,71
260,20110121,9,-38,37,-67,8,9,222,0,98,99,94
260,20110122,45,22,61,16,2,2,156,9,91,99,79
260,20110123,51,23,66,20,0,0,89,10,95,99,89
260,20110124,55,45,68,43,0,0,173,33,92,99,79
260,20110125,47,7,69,-11,31,36,405,46,87,99,65
260,20110126,13,-4,40,-22,2,2,228,0,90,99,75
260,20110127,-1,-31,14,-43,56,64,538,0,78,91,63
260,20110128,-24,-49,11,-63,79,89,612,0,79,93,63
260,20110129,-30,-56,6,-80,79,89,705,0,91,98,80
260,20110130,-14,-53,14,-76,3,3,191,0,92,99,86
260,20110131,-13,-29,-1,-27,0,0,163,0,87,95,81
260,20110201,-7,-33,24,-31,0,0,142,11,92,99,87
260,20110202,35,22,45,23,0,0,109,10,97,99,91
260,20110203,56,39,80,27,44,48,461,23,90,99,74
260,20110204,91,65,104,61,0,0,87,30,83,90,77
260,20110205,108,103,116,99,3,3,230,0,80,84,76
260,20110206,100,84,113,76,0,0,182,0,77,84,69
260,20110207,84,71,104,64,20,21,411,0,75,82,69
260,20110208,43,-28,92,-62,83,87,717,0,82,99,55
260,20110209,30,-37,94,-72,71,74,658,0,84,99,66
260,20110210,75,36,104,26,4,4,260,79,93,99,82
